State,#,$,(,),*,+,",",-,.,/,:=,;,<,<=,=,>,>=,begin,call,const,do,end,id,if,num,odd,procedure,read,then,var,while,write,Block,Condition,ConstDecl,ConstRest,Expression,Factor,FactorList,ProcDecl,ProcDecls,Program,RelOp,Sign,Statement,StmtList,Term,TermList,VarDecl,VarRest
0,,,,,,,,,r14,,,r14,,,,,,s5,s3,s4,,,s2,s6,,,s15,s11,,s8,s7,s9,10,,13,,,,,14,16,12,,,17,,,,1,
1,,,,,,,,,r14,,,r14,,,,,,r14,r14,,,,r14,r14,,,s15,r14,,,r14,r14,,,,,,,,14,18,,,,,,,,,
2,,,,,,,,,,,s19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,s20,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,s21,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,s22,,,,,,s5,s3,,,r27,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,24,23,,,,
6,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,s29,,,,,,,,28,,,30,,,,,,,25,,,,,,
7,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,s29,,,,,,,,31,,,30,,,,,,,25,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,s34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,acc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,r14,,,r14,,,,,,r14,r14,,,,r14,r14,,,s15,r14,,s8,r14,r14,,,,,,,,14,37,,,,,,,,36,
14,,,,,,,,,r14,,,r14,,,,,,r14,r14,,,,r14,r14,,,s15,r14,,,r14,r14,,,,,,,,14,38,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,s39,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,s5,s3,,,,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,40,,,,,
17,,,,,,,,,r6,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,s5,s3,,,,s2,s6,,,,s11,,,s7,s9,,,,,,,,,,,,,41,,,,,
19,,,r39,,,s26,,s27,,,,,,,,,,,,,,,r39,,r39,,,,,,,,,,,,42,,,,,,,25,,,,,,
20,,,,,,,,,r17,,,r17,,,,,,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,s43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
