Step,State Stack,Input,Action,Detail
0,0,const id = num ; var ...,SHIFT,shift to state 4
1,0 4,id = num ; var id ...,SHIFT,shift to state 21
2,0 4 21,"= num ; var id , ...",SHIFT,shift to state 43
3,0 4 21 43,"num ; var id , id ...",SHIFT,shift to state 70
4,0 4 21 43 70,"; var id , id ; ...",REDUCE,"reduce by r9: ConstRest → eps  → GOTO(70, ConstRest) = 90"
5,0 4 21 43 70 90,"; var id , id ; ...",SHIFT,shift to state 100
6,0 4 21 43 70 90 100,"var id , id ; procedure ...",REDUCE,"reduce by r7: ConstDecl → const id = num ConstRest ;  → GOTO(0, ConstDecl) = 13"
7,0 13,"var id , id ; procedure ...",SHIFT,shift to state 8
8,0 13 8,"id , id ; procedure id ...",SHIFT,shift to state 32
9,0 13 8 32,", id ; procedure id ; ...",SHIFT,shift to state 64
10,0 13 8 32 64,id ; procedure id ; if ...,SHIFT,shift to state 85
11,0 13 8 32 64 85,; procedure id ; if id ...,REDUCE,"reduce by r12: VarRest → eps  → GOTO(85, VarRest) = 98"
12,0 13 8 32 64 85 98,; procedure id ; if id ...,REDUCE,"reduce by r11: VarRest → , id VarRest  → GOTO(32, VarRest) = 63"
13,0 13 8 32 63,; procedure id ; if id ...,SHIFT,shift to state 84
14,0 13 8 32 63 84,procedure id ; if id <= ...,REDUCE,"reduce by r10: VarDecl → var id VarRest ;  → GOTO(13, VarDecl) = 36"
15,0 13 36,procedure id ; if id <= ...,SHIFT,shift to state 15
16,0 13 36 15,id ; if id <= num ...,SHIFT,shift to state 39
17,0 13 36 15 39,; if id <= num then ...,SHIFT,shift to state 69
18,0 13 36 15 39 69,if id <= num then begin ...,SHIFT,shift to state 6
19,0 13 36 15 39 69 6,id <= num then begin id ...,REDUCE,"reduce by r39: Sign → eps  → GOTO(6, Sign) = 25"
20,0 13 36 15 39 69 6 25,id <= num then begin id ...,SHIFT,shift to state 48
21,0 13 36 15 39 69 6 25 48,<= num then begin id := ...,REDUCE,"reduce by r47: Factor → id  → GOTO(25, Factor) = 50"
22,0 13 36 15 39 69 6 25 50,<= num then begin id := ...,REDUCE,"reduce by r46: FactorList → eps  → GOTO(50, FactorList) = 76"
23,0 13 36 15 39 69 6 25 50 76,<= num then begin id := ...,REDUCE,"reduce by r43: Term → Factor FactorList  → GOTO(25, Term) = 52"
24,0 13 36 15 39 69 6 25 52,<= num then begin id := ...,REDUCE,"reduce by r42: TermList → eps  → GOTO(52, TermList) = 78"
25,0 13 36 15 39 69 6 25 52 78,<= num then begin id := ...,REDUCE,"reduce by r36: Expression → Sign Term TermList  → GOTO(6, Expression) = 30"
26,0 13 36 15 39 69 6 30,<= num then begin id := ...,SHIFT,shift to state 58
